id,name,tournament_type,time_control,start_date,end_date,country,city,venue_name,latitude,longitude,max_players,entry_fee,currency,prize_fund,organizer_name,organizer_email,website,source_url,is_fide_rated
2028,SUMMER PRAGUE OPEN 2025 - A - IM Open,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),CZE,Praha,Praha,50.04502510,14.28086350,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=427982,true
2029,Open Stare Mesto 2025,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),CZE,Staré Město,Staré Město,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=411184,true
2030,XII ENCRUCIJADA ENTRE DOS REINOS,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),ESP,Beniel,Beniel,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=428735,true
2031,XXII Open Internacional De La Antilla / X Memorial,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),ESP,Lepe,Lepe,,,,,EUR,,,,,https://chess-results.com/tnr1207580.aspx?lan=0,true
2032,CECLUB PRIMERA DIVISION 2025,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),ESP,Linares,Linares,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=433437,true
2033,CECLUB DIVISION DE HONOR 2025,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),ESP,Linares,Linares,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=433436,true
2034,VIII TORNEO INTERNACIONAL JUGANDO CON LAS ESTRELLAS 2025,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),ESP,Palma,Palma,9.29869000,-75.38634800,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=416391,true
2035,VII Torneo Sub 2400 Club Ajedrez V Centenario,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),ESP,San Sebastián De Los Reyes,San Sebastián De Los Reyes,,,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=431615,true
2036,5e Marathon de Blitz Interchess (ouvert aux joueurs de tous niveaux),blitz,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),FRA,Paris,Paris,48.87681210,2.33623810,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=432688,true
2037,541e Rapide Fide Du Canal,rapid,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),FRA,Paris,Paris,48.87681210,2.33623810,,,EUR,,,,,http://www.echecs.asso.fr/FicheTournoi.aspx?Ref=68213,true
2038,Batumi Nona Club Rapid-7,rapid,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),GEO,Batumi,Batumi,41.64039270,41.63358320,,,EUR,,,,,https://www.worldchesscalendar.com/tournament/515526,true
2039,9th Batumi Int.Festival (Blitz),blitz,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),GEO,Batumi,Batumi,41.64039270,41.63358320,,,EUR,,,,,https://ratings.fide.com/tournament_information.phtml?event=426006,true
2040,9th International Chess Festival - Batumi Municipa,classical,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),GEO,Batumi_mukhran vakhtangadze sports palace,Batumi_mukhran vakhtangadze sports palace,,,,,EUR,,,,,https://chess-results.com/tnr1222932.aspx?lan=0,true
2041,6. Offenes Münsteraner ELO-Blitzturnier,blitz,,Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),Fri Aug 08 2025 00:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),GER,Münster-Hiltrup,Münster-Hiltrup,,,,,EUR,,,,,https://chess-results.com/tnr1217449.aspx?lan=0,true
